id,original_text,rewritten_text,latency_ms,input_tokens,output_tokens,response_id,number_recall,word_overlap,edit_ratio,length_ratio,exact_match,model_info,timestamp_utc
sample_001,Did you even test this? This stupid retry loop hits the API 20 times. Replace it before merging.,"Please verify the retry loop, as it currently makes 20 API calls. Replace it with a more efficient solution before merging.",2501.1,142,26,resp_0078d649a27606aa016ab2c3f25f2887d2ab0724c05603402c,1.0,0.3214,0.4886,1.2812,False,gpt-4.1-mini-2025-04-14,2026-09-22T18:07:48.346936+00:00
sample_002,This function silently drops failed records. Please add error handling before approving the pull request.,This function silently drops failed records. Please add error handling before the pull request is approved.,1234.17,137,19,resp_0bd20e9710ae2929016ab2c3f47e4c87d2995dca5119ebeea7,1.0,0.8235,0.1038,1.019,False,gpt-4.1-mini-2025-04-14,2026-09-22T18:07:49.581199+00:00
sample_003,I've asked you twice already. Stop ignoring me and send the report by 5 PM today.,I have requested the report twice already. Please ensure it is sent by 5 PM today.,1103.41,139,20,resp_0886ce22ea625e91016ab2c3f5b67487d2ba49ee36b4f0ef02,1.0,0.3333,0.411,1.0123,False,gpt-4.1-mini-2025-04-14,2026-09-22T18:07:50.684697+00:00
sample_004,The draft was due Monday and I still don't have it. Send it by noon tomorrow; this cannot slip again.,The draft was due Monday and I have not received it yet. Please send it by noon tomorrow; this cannot be delayed again.,1337.91,143,27,resp_0d04651789bb1ebe016ab2c3f6ce3487d297ead1db0e0dab00,1.0,0.64,0.2273,1.1782,False,gpt-4.1-mini-2025-04-14,2026-09-22T18:07:52.022716+00:00
sample_005,These totals are obviously wrong. Recalculate all 12 entries and send me the corrected sheet.,The totals appear to be incorrect. Please recalculate all 12 entries and send me the corrected sheet.,1209.2,139,22,resp_09c9f2ed2232ebe1016ab2c3f846a087d2a7590464de859860,1.0,0.55,0.2371,1.086,False,gpt-4.1-mini-2025-04-14,2026-09-22T18:07:53.232059+00:00
sample_006,The analysis uses the wrong date range. Please rerun it using January 1 through March 31.,The analysis uses the incorrect date range. Please rerun it using January 1 through March 31.,1050.52,141,22,resp_077802506e946935016ab2c3f9600c87d288c21e459fce500a,1.0,0.875,0.0659,1.0449,False,gpt-4.1-mini-2025-04-14,2026-09-22T18:07:54.282761+00:00
sample_007,Drop whatever you're doing and fix this mess. Production has been down for 30 minutes.,Please address the issue immediately. Production has been down for 30 minutes.,1145.74,138,16,resp_0462e46d5c8e5b98016ab2c3fa653487d28bd67f820db730cc,1.0,0.35,0.4024,0.907,False,gpt-4.1-mini-2025-04-14,2026-09-22T18:07:55.428864+00:00
sample_008,Production is unavailable. Please investigate immediately and post an update in the incident channel within 15 minutes.,Production is unavailable. Please investigate immediately and provide an update in the incident channel within 15 minutes.,1728.63,140,21,resp_067903ac2b658e57016ab2c3fb952c87d2bbf8630fd57b40d9,1.0,0.8889,0.029,1.0252,False,gpt-4.1-mini-2025-04-14,2026-09-22T18:07:57.157717+00:00
sample_009,This architecture makes no sense and anyone who understood the requirements would know that. It cannot support offline synchronization.,"This architecture does not support offline synchronization, which is a requirement based on the specifications.",815.26,141,18,resp_0d31a8af64674067016ab2c3fd484087d2b1f6f6bd8064d5ab,1.0,0.2143,0.5366,0.8222,False,gpt-4.1-mini-2025-04-14,2026-09-22T18:07:57.973186+00:00
sample_010,This is my third request. Confirm the deployment owner by 10 AM Tuesday.,This is my third request. Please confirm the deployment owner by 10 AM Tuesday.,721.73,136,18,resp_02c1b4d36ab32e2d016ab2c3fe1b2887d2a1e4b30c439c4004,1.0,0.9286,0.0596,1.0972,False,gpt-4.1-mini-2025-04-14,2026-09-22T18:07:58.695055+00:00
